Bus,BasekV,Node1,Magnitude1,Angle1,pu1,Node2,Magnitude2,Angle2,pu2,Node3,Magnitude3,Angle3,pu3
"SOURCEBUS",115,1,69715,0.0,1.05,2,69715,-120.0,1.05,3,69715,120.0,1.05
"_MDV_SUB_1_LSB",12.47,1,7318.56,-33.4,1.0165,2,7305.84,-153.7,1.0148,3,7319.16,86.7,1.0166
"MDV201",12.47,1,7318.56,-33.4,1.0165,2,7305.84,-153.7,1.0148,3,7319.16,86.7,1.0166
"94743",12.47,1,7112.21,-34.2,0.98787,0,0,0,0,0,0,0,0
"94744",12.47,1,7112.12,-34.2,0.98785,0,0,0,0,0,0,0,0
"62244",12.47,3,7170.6,85.3,0.99598,0,0,0,0,0,0,0,0
"62235",12.47,3,7169.82,85.3,0.99587,0,0,0,0,0,0,0,0
"1144235",12.47,1,7149.85,-34.7,0.9931,0,0,0,0,0,0,0,0
"1144234",12.47,1,7149.48,-34.7,0.99304,0,0,0,0,0,0,0,0
"39754",12.47,2,6990.67,-155.3,0.97099,0,0,0,0,0,0,0,0
"MDV201_1160486ELB_INT",12.47,2,6990.66,-155.3,0.97099,0,0,0,0,0,0,0,0
"1160486",12.47,2,6990.66,-155.3,0.97099,0,0,0,0,0,0,0,0
"1160476",12.47,2,6995.41,-155.3,0.97164,0,0,0,0,0,0,0,0
"1160473",12.47,2,6994.39,-155.3,0.9715,0,0,0,0,0,0,0,0
"8163",12.47,1,7200.13,-34.3,1.0001,2,7193.13,-154.5,0.99911,3,7194.49,85.4,0.9993
"8164",12.47,1,7197.82,-34.3,0.99976,2,7191.28,-154.5,0.99885,3,7188.6,85.4,0.99848
"103730",12.47,2,7088.26,-155.2,0.98454,0,0,0,0,0,0,0,0
"39610",12.47,2,7088.22,-155.2,0.98454,0,0,0,0,0,0,0,0
"835",12.47,1,7249.39,-33.8,1.0069,0,0,0,0,0,0,0,0
"842",12.47,1,7248.62,-33.8,1.0068,0,0,0,0,0,0,0,0
"39775",12.47,2,6997.7,-155.3,0.97196,0,0,0,0,0,0,0,0
"39760",12.47,2,6997.27,-155.3,0.9719,0,0,0,0,0,0,0,0
"15004",12.47,2,6993.27,-155.3,0.97135,0,0,0,0,0,0,0,0
"MDV201_1160480ELB_INT",12.47,2,6993.24,-155.3,0.97134,0,0,0,0,0,0,0,0
"1160480",12.47,2,6993.24,-155.3,0.97134,0,0,0,0,0,0,0,0
"1160492",12.47,1,7129.97,-34.2,0.99033,0,0,0,0,0,0,0,0
"MDV201_8088ELB_INT",12.47,1,7129.96,-34.2,0.99033,0,0,0,0,0,0,0,0
"8088",12.47,1,7129.96,-34.2,0.99033,0,0,0,0,0,0,0,0
"829",12.47,1,7176.87,-34.2,0.99685,2,7162.1,-154.9,0.9948,3,7242.12,85.6,1.0059
"834",12.47,1,7169.18,-34.2,0.99578,2,7152.74,-154.9,0.9935,3,7237.03,85.6,1.0052
"15005",12.47,2,6991.97,-155.3,0.97117,0,0,0,0,0,0,0,0
"MDV201_1160478ELB_INT",12.47,2,6991.95,-155.3,0.97116,0,0,0,0,0,0,0,0
"1160478",12.47,2,6991.95,-155.3,0.97116,0,0,0,0,0,0,0,0
"44582",12.47,1,7204,-34.3,1.0006,2,7196.79,-154.5,0.99962,3,7205.39,85.5,1.0008
"8160",12.47,1,7203.37,-34.3,1.0005,2,7196.12,-154.5,0.99952,3,7203.4,85.5,1.0005
"89783",12.47,3,7153.26,85.3,0.99357,0,0,0,0,0,0,0,0
"89791",12.47,3,7152.2,85.3,0.99342,0,0,0,0,0,0,0,0
"6584",12.47,1,7152.54,-34.6,0.99347,2,7184.24,-154.6,0.99787,3,7157.36,85.3,0.99414
"99422",12.47,1,7152.53,-34.6,0.99347,0,0,0,0,0,0,0,0
"8113",12.47,1,7193.67,-34.2,0.99918,2,7188.33,-154.8,0.99844,3,7250.59,85.6,1.0071
"8124",12.47,1,7192.5,-34.2,0.99902,2,7188.65,-154.8,0.99848,3,7249.87,85.6,1.007
"14880",12.47,1,7201.44,-34.0,1.0003,2,7169.07,-154.9,0.99576,3,7260.25,85.6,1.0084
"63707",12.47,1,7200.61,-34.0,1.0001,2,7165.58,-154.9,0.99528,3,7261.28,85.6,1.0086
"74449",12.47,3,7103.05,85.1,0.9866,0,0,0,0,0,0,0,0
"74450",12.47,3,7102.91,85.1,0.98658,0,0,0,0,0,0,0,0
"14989",12.47,2,7052.81,-155.2,0.97962,0,0,0,0,0,0,0,0
"100494",12.47,2,7052.81,-155.2,0.97962,0,0,0,0,0,0,0,0
"63683",12.47,1,7209.41,-34.1,1.0014,3,7258.18,85.7,1.0081,0,0,0,0
"107110",12.47,1,7209.4,-34.1,1.0014,3,7258.16,85.7,1.0081,0,0,0,0
"1144242",12.47,3,7249.51,85.6,1.0069,0,0,0,0,0,0,0,0
"8121",12.47,3,7248.94,85.6,1.0069,0,0,0,0,0,0,0,0
"63668",12.47,3,7223.94,85.5,1.0034,0,0,0,0,0,0,0,0
"63671",12.47,3,7223.26,85.5,1.0033,0,0,0,0,0,0,0,0
"89784",12.47,3,7158.31,85.3,0.99427,0,0,0,0,0,0,0,0
"89781",12.47,3,7156.33,85.3,0.994,0,0,0,0,0,0,0,0
"39734",12.47,1,7126.02,-34.7,0.98979,0,0,0,0,0,0,0,0
"39751",12.47,1,7125.52,-34.7,0.98972,0,0,0,0,0,0,0,0
"63657",12.47,1,7229.44,-34.0,1.0042,2,7218.27,-154.5,1.0026,3,7265.9,85.8,1.0092
"63658",12.47,1,7226.26,-34.0,1.0037,2,7214.62,-154.5,1.0021,3,7265.57,85.8,1.0092
"74445",12.47,2,7159.19,-154.6,0.99439,0,0,0,0,0,0,0,0
"74448",12.47,2,7157.73,-154.6,0.99419,0,0,0,0,0,0,0,0
"1012641",12.47,3,7201.92,85.5,1.0003,0,0,0,0,0,0,0,0
"1012643",12.47,3,7201.92,85.5,1.0003,0,0,0,0,0,0,0,0
"39570",12.47,1,7112.87,-34.2,0.98796,0,0,0,0,0,0,0,0
"39569",12.47,1,7112.68,-34.2,0.98793,0,0,0,0,0,0,0,0
"14858",12.47,1,7210.46,-34.2,1.0015,0,0,0,0,0,0,0,0
"14869",12.47,1,7210.46,-34.2,1.0015,0,0,0,0,0,0,0,0
"89796",12.47,3,7204.51,85.4,1.0007,0,0,0,0,0,0,0,0
"89790",12.47,3,7204.35,85.4,1.0007,0,0,0,0,0,0,0,0
